Long,Lat,Country
67.709953,33.93911,Afghanistan
20.1683,41.1533,Albania
1.6596,28.0339,Algeria
1.5218,42.5063,Andorra
17.8739,-11.2027,Angola
-61.7964,17.0608,Antigua and Barbuda
-63.6167,-38.4161,Argentina
45.0382,40.0691,Armenia
149.0124,-35.4735,Australia
151.2093,-33.8688,Australia
130.8456,-12.4634,Australia
153.0251,-27.4698,Australia
138.6007,-34.9285,Australia
147.3272,-42.8821,Australia
144.9631,-37.8136,Australia
115.8605,-31.9505,Australia
14.5501,47.5162,Austria
47.5769,40.1431,Azerbaijan
-78.035889,25.025885,Bahamas
50.55,26.0275,Bahrain
90.3563,23.685,Bangladesh
-59.5432,13.1939,Barbados
27.9534,53.7098,Belarus
4.469936,50.8333,Belgium
-88.4976,17.1899,Belize
2.3158,9.3077,Benin
90.4336,27.5142,Bhutan
-63.5887,-16.2902,Bolivia
17.6791,43.9159,Bosnia and Herzegovina
24.6849,-22.3285,Botswana
-51.9253,-14.235,Brazil
114.7277,4.5353,Brunei
25.4858,42.7339,Bulgaria
-1.5616,12.2383,Burkina Faso
95.956,21.9162,Burma
29.9189,-3.3731,Burundi
-23.0418,16.5388,Cabo Verde
104.9167,11.55,Cambodia
11.5021,3.848,Cameroon
-116.5765,53.9333,Canada
-127.6476,53.7267,Canada
0.0,0.0,Canada
0.0,0.0,Canada
-98.8139,53.7609,Canada
-66.4619,46.5653,Canada
-57.6604,53.1355,Canada
-124.8457,64.8255,Canada
-63.7443,44.682,Canada
-83.1076,70.2998,Canada
-85.3232,51.2538,Canada
-63.4168,46.5107,Canada
-73.5491,52.9399,Canada
,,Canada
-106.4509,52.9399,Canada
-135.0,64.2823,Canada
20.9394,6.6111,Central African Republic
18.7322,15.4542,Chad
-71.543,-35.6751,Chile
117.2264,31.8257,China
116.4142,40.1824,China
107.874,30.0572,China
117.9874,26.0789,China
104.2861,35.7518,China
113.4244,23.3417,China
108.7881,23.8298,China
106.8748,26.8154,China
109.7453,19.1959,China
116.1306,39.549,China
127.7615,47.862,China
114.9042,37.8957,China
114.2,22.3,China
112.2707,30.9756,China
111.7088,27.6104,China
113.9448,44.0935,China
119.455,32.9711,China
115.7221,27.614,China
126.1923,43.6661,China
122.6085,41.2956,China
113.55,22.1667,China
106.1655,37.2692,China
95.9956,35.7452,China
108.8701,35.1917,China
118.1498,36.3427,China
121.4491,31.202,China
112.2922,37.5777,China
102.7103,30.6171,China
117.323,39.3054,China
88.0924,31.6927,China
,,China
85.2401,41.1129,China
101.487,24.974,China
120.0934,29.1832,China
-74.2973,4.5709,Colombia
43.3333,-11.6455,Comoros
15.8277,-0.228,Congo (Brazzaville)
21.7587,-4.0383,Congo (Kinshasa)
-83.7534,9.7489,Costa Rica
-5.5471,7.54,Cote d'Ivoire
15.2,45.1,Croatia
-77.781167,21.521757,Cuba
33.4299,35.1264,Cyprus
15.473,49.8175,Czechia
-6.9118,61.8926,Denmark
-42.6043,71.7069,Denmark
9.5018,56.2639,Denmark
0.0,0.0,Diamond Princess
42.5903,11.8251,Djibouti
-61.371,15.415,Dominica
-70.1627,18.7357,Dominican Republic
-78.1834,-1.8312,Ecuador
30.802498,26.820553,Egypt
-88.8965,13.7942,El Salvador
10.2679,1.6508,Equatorial Guinea
39.7823,15.1794,Eritrea
25.0136,58.5953,Estonia
31.4659,-26.5225,Eswatini
40.4897,9.145,Ethiopia
178.065,-17.7134,Fiji
25.748151,61.92411,Finland
-53.1258,3.9339,France
149.4068,-17.6797,France
-61.551,16.265,France
-61.0242,14.6415,France
45.166244,-12.8275,France
165.618042,-20.904305,France
55.5364,-21.1151,France
-62.8333,17.9,France
-56.3159,46.8852,France
-63.0501,18.0708,France
-178.1165,-14.2938,France
2.2137,46.2276,France
11.6094,-0.8037,Gabon
-15.3101,13.4432,Gambia
43.3569,42.3154,Georgia
10.451526,51.165691,Germany
-1.0232,7.9465,Ghana
21.8243,39.0742,Greece
-61.679,12.1165,Grenada
-90.2308,15.7835,Guatemala
-9.6966,9.9456,Guinea
-15.1804,11.8037,Guinea-Bissau
-58.93018,4.860416,Guyana
-72.2852,18.9712,Haiti
12.4534,41.9029,Holy See
-86.2419,15.2,Honduras
19.5033,47.1625,Hungary
-19.0208,64.9631,Iceland
78.96288,20.593684,India
113.9213,-0.7893,Indonesia
53.688046,32.427908,Iran
43.679291,33.223191,Iraq
-7.6921,53.1424,Ireland
34.851612,31.046051,Israel
12.56738,41.87194,Italy
-77.2975,18.1096,Jamaica
138.252924,36.204824,Japan
36.51,31.24,Jordan
66.9237,48.0196,Kazakhstan
37.9062,-0.0236,Kenya
-168.734,-3.3704,Kiribati
127.766922,35.907757,"Korea, South"
20.902977,42.602636,Kosovo
47.481766,29.31166,Kuwait
74.766098,41.20438,Kyrgyzstan
102.495496,19.85627,Laos
24.6032,56.8796,Latvia
35.8623,33.8547,Lebanon
28.2336,-29.61,Lesotho
-9.429499,6.428055,Liberia
17.228331,26.3351,Libya
9.55,47.14,Liechtenstein
23.8813,55.1694,Lithuania
6.1296,49.8153,Luxembourg
0.0,0.0,MS Zaandam
46.869107,-18.766947,Madagascar
34.3015,-13.2543,Malawi
101.975766,4.210484,Malaysia
73.2207,3.2028,Maldives
-3.996166,17.570692,Mali
14.3754,35.9375,Malta
171.1845,7.1315,Marshall Islands
-10.9408,21.0079,Mauritania
57.552152,-20.348404,Mauritius
-102.5528,23.6345,Mexico
150.5508,7.4256,Micronesia
28.3699,47.4116,Moldova
7.4167,43.7333,Monaco
103.8467,46.8625,Mongolia
19.37439,42.708678,Montenegro
-7.0926,31.7917,Morocco
35.529562,-18.665695,Mozambique
18.4904,-22.9576,Namibia
84.25,28.1667,Nepal
-69.9683,12.5211,Netherlands
-68.2385,12.1784,Netherlands
-68.99,12.1696,Netherlands
-63.0548,18.0425,Netherlands
5.2913,52.1326,Netherlands
174.886,-40.9006,New Zealand
-85.207229,12.865416,Nicaragua
8.081666,17.607789,Niger
8.6753,9.082,Nigeria
21.7453,41.6086,North Macedonia
8.4689,60.472,Norway
55.923255,21.512583,Oman
69.3451,30.3753,Pakistan
-80.7821,8.538,Panama
143.95555,-6.314993,Papua New Guinea
-58.4438,-23.4425,Paraguay
-75.0152,-9.19,Peru
121.774017,12.879721,Philippines
19.1451,51.9194,Poland
-8.2245,39.3999,Portugal
51.1839,25.3548,Qatar
24.9668,45.9432,Romania
105.318756,61.52401,Russia
29.8739,-1.9403,Rwanda
-62.782998,17.357822,Saint Kitts and Nevis
-60.9789,13.9094,Saint Lucia
-61.2872,12.9843,Saint Vincent and the Grenadines
-172.1046,-13.759,Samoa
12.4578,43.9424,San Marino
6.6131,0.1864,Sao Tome and Principe
45.079162,23.885942,Saudi Arabia
-14.4524,14.4974,Senegal
21.0059,44.0165,Serbia
55.492,-4.6796,Seychelles
-11.779889,8.460555,Sierra Leone
103.8333,1.2833,Singapore
19.699,48.669,Slovakia
14.9955,46.1512,Slovenia
160.1562,-9.6457,Solomon Islands
46.199616,5.152149,Somalia
22.9375,-30.5595,South Africa
31.307,6.877,South Sudan
-3.74922,40.463667,Spain
80.771797,7.873054,Sri Lanka
30.2176,12.8628,Sudan
-56.0278,3.9193,Suriname
18.643501,60.128161,Sweden
8.2275,46.8182,Switzerland
38.996815,34.802075,Syria
121.0,23.7,Taiwan*
71.2761,38.861,Tajikistan
34.888822,-6.369028,Tanzania
100.992541,15.870032,Thailand
125.727539,-8.874217,Timor-Leste
0.8248,8.6195,Togo
-61.2225,10.6918,Trinidad and Tobago
9.537499,33.886917,Tunisia
35.2433,38.9637,Turkey
-100.0,40.0,US
32.290275,1.373333,Uganda
31.1656,48.3794,Ukraine
53.847818,23.424076,United Arab Emirates
-63.0686,18.2206,United Kingdom
-64.7505,32.3078,United Kingdom
-64.64,18.4207,United Kingdom
-81.2546,19.3133,United Kingdom
-2.3644,49.3723,United Kingdom
-59.5236,-51.7963,United Kingdom
-5.3536,36.1408,United Kingdom
-4.5481,54.2361,United Kingdom
-62.187366,16.742498,United Kingdom
-14.3559,-7.9467,United Kingdom
-71.7979,21.694,United Kingdom
-3.436,55.3781,United Kingdom
-55.7658,-32.5228,Uruguay
64.585262,41.377491,Uzbekistan
166.9592,-15.3767,Vanuatu
-66.5897,6.4238,Venezuela
108.277199,14.058324,Vietnam
35.2332,31.9522,West Bank and Gaza
48.516388,15.552727,Yemen
27.849332,-13.133897,Zambia
29.154857,-19.015438,Zimbabwe
